1,Cross street
2,Intersection
3,Highway
4,Highway exit
5,City
6,Airport 
7,Rail station
8,Subway station
9,Geo location
10,Bus/coach station
11,Hotel
12,Nearest major city
13,Surrounding city
14,Heliport
15,Regional express train station
16,Attraction
17,Business location
18,Car rental location
19,Convention center
20,Educational
21,Event
22,Ground transport
23,Military bases
24,Park/recreational area
25,Port
26,Resort/ski area
27,Shopping center
28,Sports
29,Transportation points
