1,Driving range
2,Golf course total yardage
3,Number of holes
4,Par for course
5,Putting green
6,Available equipment
7,Cardiovascular equipment
8,Free weights
9,Separate mens and womens lockers
10,Separate mens and womens steam rooms
11,Boot warmers
12,Ski lockers
13,Snow boarding
14,Snow mobiling
15,Body scrub
16,Body wrap
17,Facials
18,Fitness counseling
19,Foot bath
20,Lap pool
21,Manicures/pedicures
22,Massages
23,Massage lessons
24,Paraffin hand treatment
25,Plunge pools
26,Spa restaurant
27,Steam room
28,Therapy baths
29,Waxing
30,Heated pool
31,Lifeguard on duty
32,Pool depth
33,Whirlpool open year round
34,Appointment required
35,Classes available
36,Facility type
37,Guest privileges available
38,Lessons available
39,Rental information
40,Restricted age for children without adult supervision
41,Services available
42,Teen programs
43,Towels available
44,Children's program
45,Fitness center equipment replacement date
46,Private
47,Public
48,Slope
49,Rowing machine
50,Stair stepper
51,Stationary bike
52,Treadmill
53,Golf location
54,Greens fees
55,Ellipticals 
56,Complimentary water available 
57,Fresh whole fruit available 
58,Strength equipment
59,Weight machine
60,Core/stability training equipment
61,Sauna room
62,Spa treatment rooms
63,Golf school instruction
